logN,t
15,1.24887
16,1.32544
17,1.36951
18,1.40588
10,0.959961
11,1.46045
12,1.45361
13,1.59631
14,1.21057
15,1.24792
16,1.34813
17,1.39706
18,1.39761
10,1.94824
11,1.46094
12,1.21802
13,1.35449
14,1.22174
15,1.58231
16,1.48512
17,1.56133
18,1.56733
10,1.94727
11,1.46143
12,1.70459
13,1.33936
14,1.33905
15,1.43121
16,1.59801
17,1.51539
18,1.5685
10,0.973633
11,0.974121
12,1.4873
13,1.5697
14,1.33923
15,1.46097
16,2.12175
17,1.66825
18,1.6039
10,0.975586
11,1.46045
12,1.99463
13,1.56555
14,1.64349
15,1.71521
16,1.77486
17,1.64479
18,1.75064
10,1.94922
11,2.43457
12,2.19116
13,2.0697
14,1.72095
15,1.79578
16,1.78481
17,1.87962
18,1.82548
10,1.94824
11,1.46045
12,1.46118
13,1.65527
14,1.52179
15,1.61667
16,1.53593
17,1.6068
18,1.75242
10,0.973633
11,2.02979
12,1.46094
13,1.46118
14,1.52167
15,1.61313
16,1.62103
17,1.66679
18,1.65526
10,0.973633
11,1.46143
12,1.70435
13,1.94775
14,1.40283
15,1.42917
16,1.5983
17,1.69859
18,1.58054
10,1.94629
11,1.46094
12,1.46094
13,1.58264
14,1.58569
15,1.61163
16,1.70738
17,1.68703
18,1.65142
10,1.93555
11,2.92236
12,2.19116
13,1.82605
14,1.948
15,2.14661
16,1.88748
17,1.97641
18,4.70768
10,1.94824
11,1.94629
12,2.20068
13,2.31323
14,2.0697
15,2.19034
16,2.28798
17,2.29762
18,1.75522
10,1.39258
11,1.40771
12,1.70435
13,1.46509
14,1.64148
15,1.77786
16,1.3853
17,2.10125
18,2.39299
10,2.85938
11,2.43457
12,2.44409
13,2.06995
14,2.00641
15,2.20969
16,2.28183
17,2.27515
18,2.29088
10,1.98438
11,2.4165
12,2.19165
13,2.20703
14,2.08734
15,2.09268
16,2.23036
17,2.18555
18,2.20301
10,1.16504
11,1.36621
12,1.46069
13,1.33923
14,1.28021
15,1.31436
16,1.44617
17,1.66487
18,2.05548
10,0.973633
11,1.46582
12,1.70166
13,1.70496
14,1.70209
15,1.965
16,2.161
17,2.18263
18,2.34295
10,2.92188
11,1.96387
12,2.42773
13,2.06921
14,2.00879
15,2.1001
16,2.36411
17,2.21204
18,2.26242
10,1.94629
11,1.93018
12,2.31763
13,2.02649
14,1.9986
15,2.13165
16,2.1909
17,1.88602
18,2.15425
10,1.85742
11,1.94775
12,2.19141
13,1.48999
14,1.3269
15,1.43423
16,1.74962
17,2.24202
18,2.30154
10,1.95312
11,1.94775
12,2.42651
13,2.31274
14,2.13068
15,2.0574
16,2.15584
17,2.40312
18,2.13767
10,2.21191
11,2.47412
12,2.10571
13,2.06946
14,1.46082
15,1.37628
16,1.42801
17,1.91792
18,2.35239
10,1.77246
11,1.47998
12,1.70288
13,1.57861
14,1.5827
15,1.76532
16,1.97997
17,2.22954
18,2.27732
10,1.75488
11,2.43457
12,2.2041
13,2.04492
14,2.07172
15,2.15494
16,2.2822
17,2.47007
18,2.31043
10,1.94727
11,1.55127
12,1.90283
